Timestamp                       Thread     Type        Activity             PID    TTL  
2026-02-21 04:05:41.808896+0530 0x4dc648   Default     0x0                  15564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, <private>, <private>, acc, 5.00, course, -1.0, time, 793319742.8, deltaDistance, 0.0, deltaDistanceAccuracy, 1.9, odometer, -1.0, timestampGps, 793319742.8
2026-02-21 04:05:41.809120+0530 0x4dcfc4   Activity    0x8b24cc             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809223+0530 0x4dcfc4   Activity    0x8b24cd             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809258+0530 0x4dcfc4   Activity    0x8b24ce             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809283+0530 0x4dcfc4   Activity    0x8b24cf             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809303+0530 0x4dcfc4   Activity    0x8b24f0             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809325+0530 0x4dcfc4   Activity    0x8b24f1             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809344+0530 0x4dcfc4   Activity    0x8b24f2             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:41.809376+0530 0x4dc648   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:GeneralCLX] MovingApDetector, received location: <private>, success: yes
2026-02-21 04:05:41.809892+0530 0x4f19cd   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxClient, Fix, 1, ll, <private>, <private>, acc, 5.00, speed, -1.0, course, -1.0, type, 1, alt, 0.0, altunc, -1.0, ellipsoidalAlt, 0.0, speedUnc, -1.0, courseUnc, -1.0, signalEnv, 0, timestamp, 793319741.808
2026-02-21 04:05:41.810182+0530 0x4dcfc4   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Core:Core] {"msg":"#pla #zone-relevance-tracker, location notification", "notification":5, "_currentLocation":'68 E0 98 69 00 00 00 00 E3 DC 5D 12 F5 77 15 A6 39 34 2F BC 02 76 E2 8C CD 64 3A 6C 45 94 31 87 76 37 63 56 1F C7 00 76 88 6F 60 7B 0A 78 C5 31 DD 37 65 CA 7F AF B3 ED 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 8A 03 12 DA E3 97 7C D9 63 D2 CF 63 B9 18 02 5B BF B7 EB 26 2B 76 C7 C7 DD 29 6A BB 00 BC 65 34 CD 64 3A 6C 45 94 31 87 76 37 63 56 1F C7 00 76 F1 7E E4 6E EA 11 72 0B 48 24 27 FC FA 27 0A D1 22 80 3C 7C 32 56 BB 66 C9 FF 68 98 48 1F 13 2E 8F CE 3C 92 67 56 45 39 E5 33 80 57 FA 41 FF 52', "NewLocation":'68 E0 98 69 00 00 00 00 E3 DC 5D 12 F5 77 15 A6 39 34 2F BC 02 76 E2 8C CD 64 3A 6C 45 94 31 87 76 37 63 56 1F C7 00 76 88 6F 60 7B 0A 78 C5 31 DD 37 65 CA 7F AF B3 ED 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 8D F2 67 D0 CC D5 82 2C D0 9E FE 65 F6 93 95 90 50 70 54 5E 47 12 92 0B C2 5F A5 F5 10 B0 7C 31 BF B7 EB 26 2B 76 C7 C7 DD 29 6A BB 00 BC 65 34 CD 64 3A 6C 45 94 31 87 76 37 63 56 1F C7 00 76 F1 7E E4 6E EA 11 72 0B 48 24 27 FC FA 27 0A D1 22 80 3C 7C 32 56 BB 66 C9 FF 68 98 48 1F 13 2E 8F CE 3C 92 67 56 45 39 E5 33 80 57 FA 41 FF 52'}
2026-02-21 04:05:41.811617+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b3dfa08) wifi1Event
2026-02-21 04:05:41.811645+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2026-02-21 04:05:41.811800+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":7229856355784, "end_mach":7229856358428, "elapsed_s":"0.000110167", "event":System::LeechLocation, "now_s":"793319741.811069012"}
2026-02-21 04:05:41.811829+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x16b3dfa08) wifi1Event
2026-02-21 04:05:41.811904+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction created: (0x16b3dfa08) wifi1Event
2026-02-21 04:05:41.811955+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:WifiPosition] @WifiLogic, handleInput, System::LeechLocation
2026-02-21 04:05:41.812123+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Position:WifiPosition] {"msg":"CLWifi1SystemLogic::apply", "event":elapsed, "begin_mach":7229856363987, "end_mach":7229856366193, "elapsed_s":"0.000091917", "event":System::LeechLocation, "now_s":"793319741.811419010"}
2026-02-21 04:05:41.812172+0530 0x4f416c   Default     0x8b24cc             15564  0    locationd: [com.apple.locationd.Utility:QA] os_transaction releasing: (0x16b3dfa08) wifi1Event
2026-02-21 04:05:42.813038+0530 0x4f416c   Default     0x0                  15564  0    locationd: [com.apple.locationd.Position:GeneralCLX] @ClxSimulated, Fix, 1, ll, <private>, <private>, acc, 5.00, course, -1.0, time, 793319743.9, deltaDistance, 0.0, deltaDistanceAccuracy, 1.9, odometer, -1.0, timestampGps, 793319743.9
2026-02-21 04:05:42.813294+0530 0x4f416c   Activity    0x8b24f3             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:42.813370+0530 0x4f416c   Activity    0x8b24f4             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:42.813403+0530 0x4f416c   Activity    0x8b24f5             15564  0    locationd: CL: notifyClientsWithData (Fallback)
2026-02-21 04:05:42.813427+0530 0x4f416c   Activity    0x8b24f6             15564  0    locationd: CL: notifyClientsWithData (Fallback)
